Timepoints,Liver signal,AIF
37990.925,333.96,182.158
37993.105,341.433,191.779
37995.283,333.905,194.014
37997.462,337.041,209.641
37999.64,337.427,182.341
38001.82,345.556,192.823
38004,337.651,182.136
38006.178,343.292,193.099
38008.357,336.51,186.197
38010.538,344.006,192.612
38012.715,334.014,191.54
38014.895,344.206,190.639
38017.075,335.068,185.991
38019.253,346.574,193.522
38021.432,335.971,188.683
38023.61,343.868,192.265
38025.79,335.894,186.702
38027.97,336.558,187.329
38030.148,339.581,190.095
38032.327,341.182,194.553
38034.508,335.716,191.504
38036.685,334.854,192.766
38038.865,339.996,201.964
38041.042,337.186,187.363
38043.223,337.24,188.175
38045.402,337.309,178.268
38047.58,343.206,185.417
38049.76,335.325,188.625
38051.94,344.655,202.105
38054.117,339.602,185.77
38056.298,344.726,191.672
38058.477,334.527,194.689
38060.655,339.414,196.318
38062.835,338.306,191.04
38065.012,336.686,185.525
38067.193,338.608,189.368
38069.372,347.791,198.442
38071.55,340.329,188.436
38073.73,343.572,193.859
38075.91,337.509,194.882
38078.087,342.177,183.571
38080.268,340.286,188.239
38082.445,334.029,190.55
38084.625,339.252,203.673
38086.805,336.158,185.71
38088.982,340.998,189.122
38091.163,335.352,184.872
38093.342,343.466,191.877
38095.52,337.045,188.819
38097.7,346.594,189.705
38099.88,334.681,195.818
38102.057,338.221,184.602
38104.238,339.824,181.321
38106.415,333.854,187.557
38108.595,334.127,182.099
38110.775,333.274,187.97
38112.952,333.741,186.369
38115.133,331.798,191.62
38117.312,334.637,179.636
38119.49,338.597,190.168
38121.67,336.308,181.602
38123.848,335.237,184.32
38126.027,337.167,180.782
38128.208,339.347,187.509
38130.385,345.138,190.759
38132.565,339.58,175.521
38134.745,340.113,188.368
38136.923,335.067,182.229
38139.102,341.664,184.102
38141.283,334.459,181.411
38143.46,343.727,181.375
38145.64,341.176,196.287
38147.818,339.571,182.269
38149.997,342.659,194.436
38152.178,335.323,190.735
38154.355,338.656,193.734
38156.535,339.453,181.062
38158.715,342.863,184.758
38160.893,335.361,176.974
38163.072,342.481,191.675
38165.25,333.602,184.18
38167.43,340.913,189.723
38169.61,333.83,192.175
38171.788,336.541,188.796
38173.967,336.645,189.63
38176.148,338.366,181.072
38178.325,337.683,185.291
38180.505,335.041,179.467
38182.685,332.039,177.714
38184.863,340.425,179.419
38187.042,335.918,177.431
38189.22,340.536,188.927
38191.4,336.577,194.999
38193.58,340.099,191.755
38195.758,336.94,185.085
38197.938,343.419,182.204
38200.117,338.577,186.012
38202.295,339.9,190.975
38204.475,340.389,181.083
38206.652,339.435,194.501
38208.833,336.608,181.953
38211.012,336.157,180.817
38213.19,335.821,186.142
38215.37,335.687,192.789
38217.55,341.59,197.727
38219.727,335.207,185.231
38221.908,336.514,190.656
38224.087,337.696,182.828
38226.265,339.18,175.925
38228.445,335.464,186.512
38233.747,344.448,179.844
38235.925,337.067,181.769
38238.105,340.959,187.563
38240.283,334.991,184.329
38242.462,338.534,193.353
38244.643,335.905,187.111
38246.82,338.159,190.537
38249,334.593,180.566
38251.18,340.273,182.363
38253.357,337.376,192.189
38255.538,338.944,189.173
38257.717,341.569,176.782
38259.895,338.222,184.233
38262.075,336.903,194.145
38264.253,337.919,187.638
38266.432,335.363,180.661
38268.613,341.371,173.507
38270.79,342.635,187.471
38272.97,335.638,185.857
38275.15,336.195,184.718
38277.327,334.078,186.19
38279.508,337.919,184.472
38281.688,341.693,189.056
38283.865,335.161,187.482
38286.045,344.122,189.063
38288.223,335.366,185.507
38290.402,343.41,191.441
38292.583,338.461,169.581
38294.76,345.125,184.457
38296.94,334.814,176.358
38299.12,341.522,204.111
38301.298,337.815,182.539
38303.477,344.811,188.189
38305.655,336.242,178.138
38307.835,343.332,180.276
38310.015,340.703,164.107
38312.193,340.59,183.659
38314.372,341.076,186.847
38316.553,345.979,189.714
38318.73,335.704,179.359
38320.91,343.193,194.766
38323.09,337.909,178.397
38325.268,346.823,196.026
38327.447,336.22,178.035
38329.625,347.112,187.183
38331.805,339.796,180.719
38333.985,345.135,183.741
38336.163,339.898,180.303
38338.342,346.105,181.044
38340.523,334.119,193.719
38342.7,338.849,184.572
38344.88,333.756,201.325
38347.057,342.32,181.177
38349.238,336.815,187.017
38351.417,340.046,182.526
38353.595,333.283,189.95
38355.775,336.19,190.367
38357.955,339.192,179.907
38360.133,344.349,179.104
38362.312,333.658,183.768
38364.492,341.557,194.546
38366.67,336.108,175.816
38368.85,339.491,181.595
38371.027,335.75,185.921
38373.208,338.398,186.67
38375.387,337.248,186.927
38377.565,338.782,184.893
38379.745,335.458,180.722
38381.925,340.878,181.431
38384.102,336.62,184.73
38386.283,336.408,185.134
38388.46,347.401,192.912
38390.64,339.5,173.165
38392.82,340.932,187.945
38394.997,337.176,192.018
38397.178,343.225,184.277
38399.357,336.077,179.787
38401.535,338.155,188.972
38403.715,337.511,190.133
38405.895,340.929,209.09
38408.072,340.059,182.073
38410.253,339.371,190.713
38412.43,336.054,189.853
38414.61,344.569,186.482
38416.79,335.336,183.13
38418.967,346.016,188.905
38421.148,337.142,178.6
38423.327,347.019,181.752
38425.505,336.067,187.739
38427.685,342.41,200.044
38429.863,338.533,185.264
38432.042,340.596,174.27
38434.223,337.867,177.976
38436.4,338.715,181.905
38438.58,332.452,191.968
38440.76,341.728,181.361
38442.938,346.067,182.501
38445.117,336.686,183.534
38447.298,335.8,175.853
38449.475,338.925,184.01
38451.655,333.244,194.326
38453.833,339.57,180.729
38456.012,334.694,188.029
38458.193,337.626,186.009
38460.37,333.176,179.922
38462.55,335.173,176.991
38464.73,339.97,185.617
38466.908,338.568,182.686
38469.087,342.724,194.804
38471.265,337.563,177.974
38473.445,332.852,181.513
38475.625,339.51,182.143
38477.803,335.085,185.19
38479.982,335.773,177.732
38482.163,330.874,194.814
38484.34,338.108,179.726
38486.52,335.841,187.596
38488.7,342.073,183.24
38490.878,338.91,181.792
38493.057,344.364,184.031
38495.235,337.54,178.219
38497.415,345.486,186.956
38499.595,337.851,173.552
38501.773,342.597,202.89
38503.952,337.252,172.465
38506.133,342.948,182.649
38508.31,336.747,178.462
38510.49,337.058,182.873
38512.667,341.163,180.019
38514.848,344.181,196.84
38517.027,342.304,178.774
38519.205,339.373,190.056
38521.385,337.776,186.488
38523.565,346.277,182.543
38525.742,339.972,174.122
38527.923,344.728,186.614
38530.102,337.604,185.951
38532.28,345.96,189.448
38534.46,340.84,177.891
38536.637,343.998,179.273
38538.818,335.643,183.252
38540.997,332.766,182.277
38543.175,337.34,176.479
38545.355,343.435,191.411
38552.195,342.951,191.041
38554.375,342.861,202.146
38556.555,335.827,180.68
38558.732,345.087,178.553
38560.913,334.647,182.966
38563.092,340.428,180.201
38565.27,337.479,180.587
38567.45,343.807,188.951
38569.63,338.374,180.777
38571.807,338.095,176.726
38573.988,334.064,181.841
38576.165,336.556,179.946
38578.345,334.611,192.261
38580.525,335.469,182.599
38582.702,336.561,183.521
38584.883,339.371,183.056
38587.062,341.107,180.881
38589.24,335.318,179.216
38591.42,335.618,190.041
38593.6,338.134,181.248
38595.777,339.466,180.107
38597.958,334.064,172.868
38600.135,338.464,183.378
38602.315,335.686,173.495
38604.495,344.213,188.705
38606.673,335.678,184.138
38608.852,347.415,200.987
38611.033,337.931,175.995
38613.21,336.487,185.511
38615.39,339.563,179.84
38617.568,332.973,184.662
38619.747,338.06,183.202
38621.928,341.287,183.981
38624.105,334.448,178.66
38626.285,337.936,177.479
38628.465,334.852,180.08
38630.643,337.012,184.497
38632.822,337.726,183.621
38635.003,333.816,181.378
38637.18,340.459,178.075
38639.36,341.076,178.999
38641.538,337.166,187.435
38643.717,339.501,188.974
38645.898,344.107,187.228
38648.075,335.901,179.26
38650.255,341.972,178.661
38652.435,336.909,187.713
38654.613,340.598,177.646
38656.792,337.268,183.592
38658.97,332.284,178.896
38661.15,338.705,190.337
38663.33,340.837,181.674
38665.508,337.537,184.213
38667.688,340.885,175.351
38669.867,341.928,183.124
38672.045,336.484,181.615
38674.225,342.46,176.541
38676.405,334.103,186.32
38678.583,336.771,180.133
38680.762,339.482,183.47
38682.94,341.576,187.397
38685.12,333.168,173.299
38687.3,344.461,180.312
38689.477,337.6,195.019
38691.658,341.943,182.375
38693.837,335.327,181.142
38696.015,333.364,184.302
38698.195,337.808,186.503
38700.372,331.686,178.37
38702.553,336.227,199.487
38704.732,338.381,184.631
38706.91,334.255,183.123
38709.09,342.505,187.347
38711.27,332.083,173.604
38713.447,343.341,183.216
38715.628,333.595,172.49
38717.807,344.148,199.698
38719.985,337.133,183.4
38722.165,342.129,182.989
38724.342,334.899,184.188
38726.523,336.541,182.964
38728.702,334.61,179.815
38730.88,338.285,176.473
38733.06,344.12,179.114
38735.24,332.772,178.607
38737.417,343.561,182.875
38739.598,335.132,173.361
38741.775,341.502,190.738
38743.955,339.235,177.305
38746.135,333.516,179.164
38748.312,341.239,185.772
38750.492,336.633,187.378
38752.673,339.636,179.492
38754.85,340.995,183.357
38757.03,334.376,176.686
38759.21,345.994,181.548
38761.387,342.014,183.534
38763.568,338.045,188.133
38765.745,336.318,178.51
38767.925,345.04,189.531
38770.105,333.622,185.861
38772.283,337.329,192.608
38774.462,336.779,186.976
38776.643,338.343,165.624
38778.82,341.853,179.586
38781,337.504,175.972
38783.178,339.682,187.311
38785.357,338.058,190.636
